match_id,home,away,home_score,away_score,market,line,side,period,avg_odds,n_bookies
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,2.50,over,ft,2.42,1
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,2.50,under,ft,1.62,1
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,18.50,over,ft,1.293,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,18.50,under,ft,3.273,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,19.00,over,ft,1.32,2
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,19.00,under,ft,2.99,2
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,19.50,over,ft,1.453,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,19.50,under,ft,2.62,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,20.00,over,ft,1.49,2
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,20.00,under,ft,2.44,2
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,20.50,over,ft,1.643,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,20.50,under,ft,2.217,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,21.00,over,ft,1.717,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,21.00,under,ft,2.11,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,21.50,over,ft,1.825,4
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,21.50,under,ft,2.027,4
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,22.00,over,ft,1.94,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,22.00,under,ft,1.85,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,22.50,over,ft,2.09,4
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,22.50,under,ft,1.742,4
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,23.00,over,ft,2.17,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,23.00,under,ft,1.66,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,23.50,over,ft,2.287,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,23.50,under,ft,1.583,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,24.00,over,ft,2.27,2
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,24.00,under,ft,1.53,2
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,24.50,over,ft,2.37,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,24.50,under,ft,1.533,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,25.50,over,ft,2.77,1
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,25.50,under,ft,1.47,1
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,26.50,over,ft,3.13,1
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,26.50,under,ft,1.38,1
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,27.50,over,ft,3.51,1
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,ou,27.50,under,ft,1.31,1
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-1.00,home,ft,1.82,2
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-1.00,away,ft,1.85,2
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,1.50,home,ft,1.22,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,1.50,away,ft,3.957,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-1.50,home,ft,2.375,4
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-1.50,away,ft,1.548,4
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,0,home,ft,1.51,2
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,0,away,ft,2.33,2
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,0.50,home,ft,1.49,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,0.50,away,ft,2.487,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-0.50,home,ft,1.573,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-0.50,away,ft,2.29,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,1.00,home,ft,1.43,2
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,1.00,away,ft,2.54,2
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-1.00,home,ft,1.64,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-1.00,away,ft,2.157,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,1.50,home,ft,1.437,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,1.50,away,ft,2.637,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-1.50,home,ft,1.685,4
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-1.50,away,ft,2.138,4
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-2.00,home,ft,1.737,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-2.00,away,ft,2.02,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,2.50,home,ft,1.38,1
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,2.50,away,ft,3.12,1
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-2.50,home,ft,1.89,4
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-2.50,away,ft,1.952,4
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-3.00,home,ft,1.947,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-3.00,away,ft,1.797,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,3.50,home,ft,1.32,1
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,3.50,away,ft,3.42,1
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-3.50,home,ft,2.103,4
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-3.50,away,ft,1.708,4
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-4.00,home,ft,2.31,2
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-4.00,away,ft,1.51,2
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-4.50,home,ft,2.583,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-4.50,away,ft,1.453,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-5.00,home,ft,3.1,2
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-5.00,away,ft,1.3,2
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-5.50,home,ft,3.463,3
6DRpKsqJ,Putintseva Y.,Tomljanovic A.,2,2,hc,-5.50,away,ft,1.267,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,2.50,over,ft,2.45,1
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,2.50,under,ft,1.61,1
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,17.50,over,ft,1.3,2
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,17.50,under,ft,3.08,2
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,18.00,over,ft,1.35,2
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,18.00,under,ft,2.85,2
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,18.50,over,ft,1.27,2
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,18.50,under,ft,3.28,2
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,19.00,over,ft,1.31,2
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,19.00,under,ft,3.04,2
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,19.50,over,ft,1.447,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,19.50,under,ft,2.6,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,20.00,over,ft,1.49,2
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,20.00,under,ft,2.44,2
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,20.50,over,ft,1.665,4
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,20.50,under,ft,2.2,4
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,21.00,over,ft,1.733,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,21.00,under,ft,2.093,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,21.50,over,ft,1.857,4
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,21.50,under,ft,1.97,4
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,22.00,over,ft,1.96,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,22.00,under,ft,1.84,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,22.50,over,ft,2.105,4
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,22.50,under,ft,1.722,4
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,23.00,over,ft,2.173,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,23.00,under,ft,1.653,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,23.50,over,ft,2.287,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,23.50,under,ft,1.57,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,24.00,over,ft,2.27,2
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,24.00,under,ft,1.53,2
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,24.50,over,ft,2.37,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,24.50,under,ft,1.52,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,25.50,over,ft,2.733,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,ou,25.50,under,ft,1.397,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,hc,1.00,home,ft,2.0,2
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,hc,1.00,away,ft,1.69,2
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,hc,1.50,home,ft,1.627,4
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,hc,1.50,away,ft,2.212,4
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,hc,-1.50,home,ft,4.463,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,hc,-1.50,away,ft,1.177,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,hc,0.50,home,ft,2.443,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,hc,0.50,away,ft,1.487,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,hc,-0.50,home,ft,2.593,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,hc,-0.50,away,ft,1.433,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,hc,1.00,home,ft,2.35,2
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,hc,1.00,away,ft,1.5,2
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,hc,-1.00,home,ft,2.67,2
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,hc,-1.00,away,ft,1.39,2
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,hc,1.50,home,ft,2.273,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,hc,1.50,away,ft,1.577,3
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,hc,-1.50,home,ft,2.82,1
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,hc,-1.50,away,ft,1.4,1
jBf5O5gl,Tomljanovic A.,Potapova A.,2,2,hc,2.00,home,ft,2.197,3
